Rank,Role,Company,Location,Type,Posted,Maps to title,Title fit /30,Level fit /30,Skill overlap /25,Employer /15,Match score,Verdict,Use CV,Why it scores here,Watch out,LinkedIn
1,"Intern - AI/ML","Tower Research Capital","Gurgaon, HR",Internship,2026-09-11,"#3 Quant Research / #5 Applied Scientist",28,30,23,14,95,"Apply this week",QR,"Quant prop firm running exactly your stack: signal research, backtesting, Python. Kelly sizing and walk-forward validation are their daily vocabulary.","Extremely selective. Expect a hard DSA + probability screen before anyone reads the resume.",https://in.linkedin.com/jobs/view/intern-ai-ml-at-tower-research-capital-4456746255
2,"Quantitative Researcher - Early Career (INDIA)","Trexquant Investment LP","Gurugram, HR","Full-time (early career)",2026-09-08,"#3 Quant Research",30,26,23,13,92,"Apply this week",QR,"Explicitly early-career, and systematic alpha research is literally what your Political Alpha Tracker does end to end.","Confirm 2027-grad eligibility first - 'early career' at funds often means 2026 grads only.",https://in.linkedin.com/jobs/view/quantitative-researcher-early-career-india-at-trexquant-investment-lp-4317149828
3,"Research Sciences INTERN",Microsoft,"Bengaluru, KA",Internship,2026-09-10,"#5 Applied Scientist",27,29,21,15,92,"Apply this week",RES,"The one posting where your accepted Springer paper does the heavy lifting. Conformal prediction is a live research area.","Heavily PhD-weighted. Lead with the publication or you will not clear the first pass.",https://in.linkedin.com/jobs/view/research-sciences-intern-at-microsoft-4456711333
4,"Research Intern - AI","GE HealthCare","Bengaluru, KA",Internship,2026-08-31,"#5 Applied Scientist / #13 Life Sciences",26,29,21,14,90,"Apply this week",PHA,"Healthcare plus research is the exact intersection of your Bayesian epidemiological modelling project.","Will want evidence you can read clinical literature, not just model it.",https://in.linkedin.com/jobs/view/research-intern-ai-at-ge-healthcare-4461088583
5,"Internship Trainee - AI Engg.",Crisil,"Pune, MH",Internship,2026-08-24,"#8 Research Analyst / #11 Model Risk",25,29,22,13,89,"Apply this week",RES,"Crisil is ratings and econometrics. Your SARIMA work and model-validation language land better here than at a product company.","Two near-identical postings (Pune and Mumbai) - apply to one, not both.",https://in.linkedin.com/jobs/view/internship-trainee-ai-engg-at-crisil-4456879321
6,"Exposure Modelling Summer Intern","Moody's Corporation","Sadar, UP",Internship,2026-09-07,"#11 Quantitative Risk",26,29,21,13,89,"Apply this week",QR,"Catastrophe exposure modelling is Monte Carlo, scenario analysis and sensitivity testing - your MCMC diagnostics work transfers directly.","Odd listed location; confirm the actual base before investing in the application.",https://in.linkedin.com/jobs/view/exposure-modelling-summer-intern-at-moody-s-corporation-4464352847
7,"Data and AI Engineering Intern","Electronic Arts (EA)","Hyderabad, TG",Internship,2026-09-09,"#6 ML Engineer / #9 Data Engineer",25,29,22,13,89,"Apply this week",ENG,"Your Docker, GitHub Actions, pytest and EC2 work is real deployment evidence, which almost no student applicant has.","They will ask about orchestration at scale - you have cron and Actions, not Airflow. Have an answer ready.",https://in.linkedin.com/jobs/view/data-and-ai-engineering-intern-at-electronic-arts-ea-4463038741
8,"Data Analyst Project Intern (Training & Quality) - 2026 Start (BS/MS)",ByteDance,"Gurgaon, HR",Internship,2026-09-09,"#4 Data Analyst",24,30,20,14,88,"Apply this week",AN,"Explicitly scoped to BS/MS candidates with a 2026 start. Level fit is as clean as it gets.","Data quality and annotation work, not modelling. Go in knowing that is the job.",https://in.linkedin.com/jobs/view/data-analyst-project-intern-training-quality-2026-start-bs-ms-at-bytedance-4437437416
9,"Data Science Intern","Houlihan Lokey","Gurugram, HR",Internship,2026-09-01,"#1 Data Scientist / #3 Quant Research",27,29,20,12,88,"Apply this week",QR,"Investment bank running a genuine DS intern seat - finance domain plus modelling, which is your overlap.","Small intake. A referral matters more than the application here.",https://in.linkedin.com/jobs/view/data-science-intern-at-houlihan-lokey-4461799463
10,"Quantitative Research Analyst",Groww,"Bengaluru, KA",Full-time,2026-09-04,"#3 Quant Research",29,22,23,13,87,"Apply this week",QR,"Indian fintech quant desk - Python-first, so your missing C++ is not the blocker it is at an HFT shop.","Likely wants 1-2 years. Apply anyway; fintech flexes more than banks do.",https://in.linkedin.com/jobs/view/quantitative-research-analyst-at-groww-4461950697
11,"Research Intern","Council on Energy, Environment and Water (CEEW)",Delhi,Internship,2026-09-14,"#8 Research Analyst (Econ)",26,30,19,11,86,"Apply this week",RES,"Your SARIMA study of Indian electricity generation 2019-25 is a direct topical hit. Almost nobody else applying will have built exactly this.","Think-tank pay and scope. The value is the publication credit, not the stipend.",https://in.linkedin.com/jobs/view/research-intern-at-council-on-energy-environment-and-water-ceew-4464770511
12,"Intern - AI Engineering","Nuvama Group","Mumbai, MH",Internship,2026-08-18,"#6 ML Engineer / #12 GenAI",23,29,21,12,85,"Apply this week",ENG,"Nuvama also has a Quantitative Researcher req open - two doors into the same firm.","Posted 18 Aug; may already be closed. Check before writing a tailored version.",https://in.linkedin.com/jobs/view/intern-ai-engineering-at-nuvama-group-4452595267
13,"Associate - Decision Science","Axtria - Ingenious Insights","Pune, MH",Full-time,2026-08-28,"#2 Decision Scientist / #13 Life Sciences",30,21,21,12,84,"Strong - apply",DS,"Your #2 title verbatim, at a pharma-analytics firm. The Amgen adjacency without needing Amgen to open a grad req.","Associate usually means 1-2 years at Axtria. Your projects have to carry the gap.",https://in.linkedin.com/jobs/view/associate-decision-science-at-axtria-ingenious-insights-4408167685
14,"Decision Scientist","Tesco Bengaluru","Bengaluru, KA",Full-time,2026-09-15,"#2 Decision Scientist",30,20,21,13,84,"Strong - apply",DS,"Title matches your #2 exactly, and Tesco's decision-science function is genuinely analytical rather than reporting.","Usually 2+ years. Lowest level-fit in this group - treat as a stretch.",https://in.linkedin.com/jobs/view/decision-scientist-at-tesco-bengaluru-4465567621
15,"Speech Recognition Intern","Sony Research India","Bengaluru, KA",Internship,2026-09-09,"#5 Applied Scientist",22,29,19,14,84,"Strong - apply",RES,"Corporate research lab internship - your publication signals you can work at research pace.","Speech and ASR are outside your stack. You would learn the domain on arrival.",https://in.linkedin.com/jobs/view/speech-recognition-intern-at-sony-research-india-4464934971
16,"Quantitative Researcher","IMC Trading","Mumbai, MH",Full-time,2026-08-29,"#3 Quant Research",30,16,22,15,83,"Strong - apply",QR,"Top-tier market maker that does run a graduate pipeline; the title is a perfect match on paper.","Reads experienced-hire, and IMC gates hard on CGPA and institute. 7.05 from BIT is below their usual bar.",https://in.linkedin.com/jobs/view/quantitative-researcher-at-imc-trading-4404282005
17,"AI Software Intern / Trainee","Panasonic Avionics Corporation","Pune, MH",Internship,2026-09-15,"#6 ML Engineer",22,30,20,11,83,"Strong - apply",ENG,"Clean intern/trainee framing and a recent post. Low competition relative to the brand-name listings.","Embedded and avionics context - more software engineering than data science.",https://in.linkedin.com/jobs/view/ai-software-intern-trainee-pune-india-at-panasonic-avionics-corporation-4466557018
18,"Automation / AI Intern for Blade Structural Design","Siemens Gamesa","Bengaluru, KA",Internship,2026-09-11,"#19 Optimization / #5 Applied Scientist",21,30,19,13,83,"Strong - apply",RES,"Structural design automation is constrained optimization - your genetic-algorithm build is the closest thing you have.","Mechanical domain knowledge assumed. Expect to justify why a QEDS student fits.",https://in.linkedin.com/jobs/view/automation-ai-intern-for-blade-structural-design-process-at-siemens-gamesa-4464503985
